Texto	Sentiment
Sorteo Club LA GACETA y Arcor Center: un Bon o Bon por cada día de cuarentena https://t.co/47UIGj91zT https://t.co/EFTeelT3kP	POSITIVE
RT @Ecos365: ?? Grupo Arcor obtuvo 2500 millones de pesos en el mercado local de capitales: La nueva clase de ON será destinada al refinanciamiento de deudas bancarias existentes y al financiamiento de capital de trabajo https://t.co/LeLgLCgU7v | @Ecos365	POSITIVE
"Grupo Arcor obtuvo 2500 millones de pesos en el mercado local de capitales Con un objetivo inicial de 500 millones de pesos, Arcor alcanzó el máximo ofertado, obteniendo un total de $ 2500M a través de la emisión de una nueva clase de obligaciones negociables."	POSITIVE
"RT @UnaHippiConOsde: @connieansaldi El 5 cumplo 2 años con novio. La primera cita trajo un blockazo, al año tambien... Te banco tenerlo lejos y no poder darle un beso... PERO DONDE ESTA MI BLOCKAZO!?!? @alferdez te hago caso hace mas de 100 dias, tramitame mi blockazo con @arcorprensa_ar ????"	POSITIVE
Arcor inyecta fondos a sus filiales y sale a buscar hasta $2.500 millones para apuntalar operaciones https://t.co/g13GzqaCTF https://t.co/LE7kD60bz7	NEUTRAL
Arcor inyecta fondos a sus filiales y sale a buscar hasta $2.500 millones para apuntalar operaciones https://t.co/BTKnBkEQrt https://t.co/8wgXqW6FMz	NEUTRAL
"QT @VerbitskyH: RT @AliciaCastroAR: Marcelo Mindlin, segun reporta @VerbitskyH en @elcoheteluna, es el campeón de tarifazo, evasión y fuga; mecanismo macri… ; Los conocidos de siempre (El Grupo Clarín, Techint, Arcor, Pampa Energía y Aceitera General Deheza están entre los mayores responsables de la fuga de capitales durante el gobierno de Macrì) https://t.co/PMy7U2I3hr vía @elcoheteluna"	NEGATIVE
"QT @VerbitskyH: RT @AliciaCastroAR: Marcelo Mindlin, segun reporta @VerbitskyH en @elcoheteluna, es el campeón de tarifazo, evasión y fuga; mecanismo macri… ; Los conocidos de siempre (El Grupo Clarín, Techint, Arcor, Pampa Energía y Aceitera General Deheza están entre los mayores responsables de la fuga de capitales durante el gobierno de Macrì) https://t.co/PMy7U2I3hr vía @elcoheteluna"	NEGATIVE
"QT @VerbitskyH: RT @DalterEduardo: Los conocidos de siempre EL DELITO ES SÓLO DELITO (y no hay Marcelo que valga) Historia de una devastación ; Los conocidos de siempre (El Grupo Clarín, Techint, Arcor, Pampa Energía y Aceitera General Deheza están entre los mayores responsables de la fuga de capitales durante el gobierno de Macrì) https://t.co/PMy7U2I3hr vía @elcoheteluna"	NEGATIVE
"QT @VerbitskyH: RT @AliciaCastroAR: ?? Marcelo Mindlin entre “los mayores responsables de la fuga de capitales durante el gobierno de Mauricio Macri” Denunc… ; Los conocidos de siempre (El Grupo Clarín, Techint, Arcor, Pampa Energía y Aceitera General Deheza están entre los mayores responsables de la fuga de capitales durante el gobierno de Macrì) https://t.co/PMy7U2I3hr vía @elcoheteluna"	NEGATIVE
